 260 | 11/01/2022 | 07:27:27 PM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 261 | 11/01/2022 | 07:27:27 PM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 262 | 11/01/2022 | 07:27:35 PM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 263 | 11/01/2022 | 07:27:35 PM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 264 | 11/02/2022 | 05:55:02 PM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 265 | 11/02/2022 | 05:55:02 PM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 266 | 11/02/2022 | 05:55:09 PM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 267 | 11/02/2022 | 05:55:09 PM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 268 | 11/05/2022 | 05:47:01 AM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 269 | 11/05/2022 | 05:47:01 AM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 26a | 11/05/2022 | 05:47:08 AM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 26b | 11/05/2022 | 05:47:08 AM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 26c | 11/05/2022 | 03:30:51 PM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 26d | 11/05/2022 | 03:30:51 PM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 26e | 11/05/2022 | 03:30:57 PM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 26f | 11/05/2022 | 03:30:57 PM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 270 | 11/05/2022 | 05:53:38 PM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 271 | 11/05/2022 | 05:53:38 PM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 272 | 11/05/2022 | 05:53:46 PM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 273 | 11/05/2022 | 05:53:46 PM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 274 | 11/06/2022 | 03:57:36 PM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 275 | 11/06/2022 | 03:57:36 PM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 276 | 11/06/2022 | 03:57:39 PM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 277 | 11/06/2022 | 03:57:39 PM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 278 | 11/06/2022 | 06:23:48 PM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 279 | 11/06/2022 | 06:23:48 PM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 27a | 11/06/2022 | 06:23:54 PM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 27b | 11/06/2022 | 06:23:54 PM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 27c | 11/10/2022 | 10:55:01 AM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 27d | 11/10/2022 | 10:55:01 AM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 27e | 11/10/2022 | 10:55:03 AM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 27f | 11/10/2022 | 10:55:03 AM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 280 | 11/11/2022 | 01:28:33 AM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 281 | 11/11/2022 | 01:28:33 AM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 282 | 11/11/2022 | 01:28:35 AM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 283 | 11/11/2022 | 01:28:35 AM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 284 | 11/11/2022 | 03:42:15 AM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 285 | 11/11/2022 | 03:42:15 AM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 286 | 11/11/2022 | 03:42:21 AM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 287 | 11/11/2022 | 03:42:21 AM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 288 | 11/11/2022 | 01:14:39 PM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 289 | 11/11/2022 | 01:14:39 PM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 28a | 11/11/2022 | 01:14:42 PM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 28b | 11/11/2022 | 01:14:42 PM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 28c | 11/12/2022 | 05:15:53 PM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 28d | 11/12/2022 | 05:15:53 PM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 28e | 11/12/2022 | 05:16:00 PM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 28f | 11/12/2022 | 05:16:00 PM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 290 | 11/17/2022 | 01:26:16 PM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 291 | 11/17/2022 | 01:26:16 PM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 292 | 11/17/2022 | 01:26:18 PM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 293 | 11/17/2022 | 01:26:18 PM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 294 | 11/17/2022 | 11:41:34 PM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 295 | 11/17/2022 | 11:41:34 PM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 296 | 11/17/2022 | 11:41:41 PM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 297 | 11/17/2022 | 11:41:41 PM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 298 | 11/18/2022 | 01:18:50 AM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 299 | 11/18/2022 | 01:18:50 AM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 29a | 11/18/2022 | 01:18:57 AM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 29b | 11/18/2022 | 01:18:57 AM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 29c | 11/18/2022 | 07:14:00 AM UTC | Power Unit #0xff | Power off/down | Asserted
 29d | 11/18/2022 | 07:16:19 AM UTC | System Event | OEM System boot event | Asserted
 29e | 11/18/2022 | 07:17:25 AM UTC | System Event | OEM System boot event | Asserted
 29f | 11/18/2022 | 07:17:45 AM UTC | System Event | Timestamp Clock Sync | Asserted
 2a0 | 11/18/2022 | 07:17:45 AM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
 2a1 | 11/18/2022 | 07:18:24 AM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
 2a2 | 11/18/2022 | 07:18:25 AM UTC | System Event | Timestamp Clock Sync | Asserted
 2a3 | 11/18/2022 | 07:18:36 AM UTC | System Firmwares | Unrecoverable video controller failure | Asserted
 2a4 | 11/18/2022 | 07:18:38 AM UTC | System Firmwares | Unrecoverable video controller failure | Asserted
 2a5 | 11/18/2022 | 07:18:40 AM UTC | System Firmwares | Unrecoverable video controller failure | Asserted
 2a6 | 11/18/2022 | 07:18:43 AM UTC | System Firmwares | Unrecoverable video controller failure | Asserted
 2a7 | 11/18/2022 | 07:18:45 AM UTC | System Firmwares | Unrecoverable video controller failure | Asserted
 2a8 | 11/18/2022 | 07:19:29 AM UTC | OS Boot #0x22 | boot completed - device not specified | Asserted
 2a9 | 11/18/2022 | 10:43:47 AM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 2aa | 11/18/2022 | 10:43:47 AM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 2ab | 11/18/2022 | 10:43:54 AM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 2ac | 11/18/2022 | 10:43:54 AM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 2ad | 11/20/2022 | 02:40:27 AM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 2ae | 11/20/2022 | 02:40:27 AM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 2af | 11/20/2022 | 02:40:34 AM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 2b0 | 11/20/2022 | 02:40:34 AM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 2b1 | 11/21/2022 | 03:38:51 AM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 2b2 | 11/21/2022 | 03:38:51 AM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 2b3 | 11/21/2022 | 03:38:54 AM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 2b4 | 11/21/2022 | 03:38:54 AM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 2b5 | 11/21/2022 | 10:36:12 PM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 2b6 | 11/21/2022 | 10:36:12 PM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 2b7 | 11/21/2022 | 10:36:19 PM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 2b8 | 11/21/2022 | 10:36:19 PM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 2b9 | 11/23/2022 | 12:40:27 PM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 2ba | 11/23/2022 | 12:40:27 PM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 2bb | 11/23/2022 | 12:40:33 PM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 2bc | 11/23/2022 | 12:40:33 PM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 2bd | 11/24/2022 | 11:01:56 PM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 2be | 11/24/2022 | 11:01:56 PM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 2bf | 11/24/2022 | 11:01:58 PM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 2c0 | 11/24/2022 | 11:01:58 PM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 2c1 | 11/26/2022 | 10:48:20 PM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 2c2 | 11/26/2022 | 10:48:20 PM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 2c3 | 11/26/2022 | 10:48:27 PM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 2c4 | 11/26/2022 | 10:48:27 PM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 2c5 | 11/27/2022 | 02:47:48 PM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 2c6 | 11/27/2022 | 02:47:48 PM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 2c7 | 11/27/2022 | 02:47:50 PM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 2c8 | 11/27/2022 | 02:47:50 PM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 2c9 | 11/27/2022 | 04:31:13 PM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 2ca | 11/27/2022 | 04:31:13 PM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 2cb | 11/27/2022 | 04:31:20 PM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 2cc | 11/27/2022 | 04:31:20 PM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 2cd | 11/27/2022 | 09:27:16 PM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 2ce | 11/27/2022 | 09:27:16 PM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 2cf | 11/27/2022 | 09:27:22 PM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 2d0 | 11/27/2022 | 09:27:22 PM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 2d1 | 11/29/2022 | 01:21:09 AM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 2d2 | 11/29/2022 | 01:21:09 AM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 2d3 | 11/29/2022 | 01:21:16 AM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 2d4 | 11/29/2022 | 01:21:16 AM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 2d5 | 11/30/2022 | 08:53:06 AM UTC | System Event | OEM System boot event | Asserted
 2d6 | 11/30/2022 | 08:53:41 AM UTC | System Event | Timestamp Clock Sync | Asserted
 2d7 | 11/30/2022 | 08:53:41 AM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
 2d8 | 11/30/2022 | 08:53:55 AM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
 2d9 | 11/30/2022 | 08:53:56 AM UTC | System Event | Timestamp Clock Sync | Asserted
 2da | 11/30/2022 | 08:54:06 AM UTC | System Firmwares | Unrecoverable video controller failure | Asserted
 2db | 11/30/2022 | 08:54:08 AM UTC | System Firmwares | Unrecoverable video controller failure | Asserted
 2dc | 11/30/2022 | 08:54:10 AM UTC | System Firmwares | Unrecoverable video controller failure | Asserted
 2dd | 11/30/2022 | 08:54:11 AM UTC | System Firmwares | Unrecoverable video controller failure | Asserted
 2de | 11/30/2022 | 08:54:13 AM UTC | System Firmwares | Unrecoverable video controller failure | Asserted
 2df | 11/30/2022 | 08:54:50 AM UTC | OS Boot #0x22 | boot completed - device not specified | Asserted
 2e0 | 12/05/2022 | 09:45:38 PM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 2e1 | 12/05/2022 | 09:45:38 PM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 2e2 | 12/05/2022 | 09:45:44 PM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 2e3 | 12/05/2022 | 09:45:44 PM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 2e4 | 12/05/2022 | 11:40:36 PM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 2e5 | 12/05/2022 | 11:40:36 PM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 2e6 | 12/05/2022 | 11:40:39 PM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 2e7 | 12/05/2022 | 11:40:39 PM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 2e8 | 12/09/2022 | 02:49:39 PM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 2e9 | 12/09/2022 | 02:49:39 PM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 2ea | 12/09/2022 | 02:49:45 PM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 2eb | 12/09/2022 | 02:49:45 PM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 2ec | 12/09/2022 | 09:47:36 PM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 2ed | 12/09/2022 | 09:47:36 PM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 2ee | 12/09/2022 | 09:47:43 PM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 2ef | 12/09/2022 | 09:47:43 PM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 2f0 | 12/12/2022 | 06:27:55 PM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 2f1 | 12/12/2022 | 06:27:55 PM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 2f2 | 12/12/2022 | 06:27:58 PM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 2f3 | 12/12/2022 | 06:27:58 PM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 2f4 | 12/12/2022 | 06:35:31 PM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 2f5 | 12/12/2022 | 06:35:31 PM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 2f6 | 12/12/2022 | 06:35:37 PM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
