Watchdog         | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
SEL              | 0x10       | discrete   | 0x1080| na        | na        | na        | na        | na        | na        
12V_GPU2         | 0.000      | Amps       | ok    | na        | na        | na        | 71.680    | 77.760    | na        
12V_GPU1         | 0.000      | Amps       | ok    | na        | na        | na        | 71.680    | 77.760    | na        
12V_GPU6         | 1.920      | Amps       | ok    | na        | na        | na        | 71.680    | 77.760    | na        
12V_GPU5         | 0.000      | Amps       | ok    | na        | na        | na        | 71.680    | 77.760    | na        
12V_GPU4         | 1.920      | Amps       | ok    | na        | na        | na        | 71.680    | 77.760    | na        
12V_GPU3         | 1.920      | Amps       | ok    | na        | na        | na        | 71.680    | 77.760    | na        
12V_GPU8         | 2.240      | Amps       | ok    | na        | na        | na        | 71.680    | 77.760    | na        
12V_GPU7         | 1.920      | Amps       | ok    | na        | na        | na        | 71.680    | 77.760    | na        
GPU_FAN12        | 8850.000   | RPM        | ok    | 0.000     | 1200.000  | 1500.000  | 38250.000 | 38250.000 | 38250.000 
GPU_FAN56        | 8850.000   | RPM        | ok    | 0.000     | 1200.000  | 1500.000  | 38250.000 | 38250.000 | 38250.000 
SYS_FAN1         | 7950.000   | RPM        | ok    | 0.000     | 1200.000  | 1500.000  | 38250.000 | 38250.000 | 38250.000 
SYS_FAN2         | 7950.000   | RPM        | ok    | 0.000     | 1200.000  | 1500.000  | 38250.000 | 38250.000 | 38250.000 
GPU_FAN34        | 8850.000   | RPM        | ok    | 0.000     | 1200.000  | 1500.000  | 38250.000 | 38250.000 | 38250.000 
GPU_FAN78        | 9000.000   | RPM        | ok    | 0.000     | 1200.000  | 1500.000  | 38250.000 | 38250.000 | 38250.000 
GPU_FAN12E       | 8850.000   | RPM        | ok    | 0.000     | 1200.000  | 1500.000  | 38250.000 | 38250.000 | 38250.000 
GPU_FAN56E       | 9000.000   | RPM        | ok    | 0.000     | 1200.000  | 1500.000  | 38250.000 | 38250.000 | 38250.000 
CPU0_Status      | 0x80       | discrete   | 0x8080| na        | na        | na        | na        | na        | na        
CPU1_Status      | 0x80       | discrete   | 0x8080| na        | na        | na        | na        | na        | na        
CPU0_TEMP        | 57.000     | degrees C  | ok    | -128.000  | -10.000   | -5.000    | 97.000    | 100.000   | 127.000   
CPU1_TEMP        | 58.000     | degrees C  | ok    | -128.000  | -10.000   | -5.000    | 97.000    | 100.000   | 127.000   
DIMMG0_TEMP      | 55.000     | degrees C  | ok    | -128.000  | 0.000     | 5.000     | 84.000    | 87.000    | 127.000   
DIMMG1_TEMP      | 51.000     | degrees C  | ok    | -128.000  | 0.000     | 5.000     | 84.000    | 87.000    | 127.000   
DIMMG2_TEMP      | 39.000     | degrees C  | ok    | -128.000  | 0.000     | 5.000     | 84.000    | 87.000    | 127.000   
DIMMG3_TEMP      | 43.000     | degrees C  | ok    | -128.000  | 0.000     | 5.000     | 84.000    | 87.000    | 127.000   
CPU0_DTS         | 43.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na        
CPU1_DTS         | 42.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na        
GPU_G1_PROC      | 63.000     | degrees C  | ok    | -128.000  | -10.000   | -5.000    | 86.000    | 91.000    | 127.000   
GPU_G6_PROC      | 31.000     | degrees C  | ok    | -128.000  | -10.000   | -5.000    | 86.000    | 91.000    | 127.000   
GPU_G4_PROC      | 29.000     | degrees C  | ok    | -128.000  | -10.000   | -5.000    | 86.000    | 91.000    | 127.000   
GPU_G7_PROC      | 28.000     | degrees C  | ok    | -128.000  | -10.000   | -5.000    | 86.000    | 91.000    | 127.000   
GPU2_PROC        | 63.000     | degrees C  | ok    | -128.000  | -10.000   | -5.000    | 86.000    | 91.000    | 127.000   
GPU1_PROC        | 61.000     | degrees C  | ok    | -128.000  | -10.000   | -5.000    | 86.000    | 91.000    | 127.000   
GPU5_PROC        | na         | degrees C  | na    | -128.000  | -10.000   | -5.000    | 86.000    | 91.000    | 127.000   
GPU6_PROC        | 31.000     | degrees C  | ok    | -128.000  | -10.000   | -5.000    | 86.000    | 91.000    | 127.000   
GPU3_PROC        | 29.000     | degrees C  | ok    | -128.000  | -10.000   | -5.000    | 86.000    | 91.000    | 127.000   
GPU4_PROC        | 29.000     | degrees C  | ok    | -128.000  | -10.000   | -5.000    | 86.000    | 91.000    | 127.000   
GPU8_PROC        | 27.000     | degrees C  | ok    | -128.000  | -10.000   | -5.000    | 86.000    | 91.000    | 127.000   
