  6b | 01/29/2021 | 06:05:14 PM UTC | Processor #0xe4 | Presence detected | Asserted
  6c | 01/29/2021 | 06:05:14 PM UTC | Power Supply #0xe6 | Presence detected | Asserted
  6d | 01/29/2021 | 06:05:14 PM UTC | Power Supply #0xe6 | Power Supply AC lost | Asserted
  6e | 01/29/2021 | 06:05:14 PM UTC | Power Supply #0xe7 | Presence detected | Asserted
  6f | 01/29/2021 | 06:05:59 PM UTC | Power Unit #0xff | Power off/down | Asserted
  70 | 01/29/2021 | 06:06:22 PM UTC | Drive Slot / Bay #0x02 | Drive Present | Asserted
  71 | 01/29/2021 | 06:06:22 PM UTC | Drive Slot / Bay #0x03 | Drive Present | Asserted
  72 | 01/29/2021 | 06:06:23 PM UTC | Drive Slot / Bay #0x04 | Drive Present | Asserted
  73 | 01/29/2021 | 06:06:36 PM UTC | Drive Slot / Bay #0x19 | Drive Present | Asserted
  74 | 01/29/2021 | 06:06:37 PM UTC | Drive Slot / Bay #0x1a | Drive Present | Asserted
  75 | 01/29/2021 | 06:06:54 PM UTC | Drive Slot / Bay #0x01 | Drive Present | Asserted
  76 | 01/29/2021 | 06:07:20 PM UTC | System Event | OEM System boot event | Asserted
  77 | 01/29/2021 | 06:07:36 PM UTC | System Event | Timestamp Clock Sync | Asserted
  78 | 01/29/2021 | 06:07:36 PM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
  79 | 01/01/2020 | 12:00:00 AM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
  7a | 01/01/2020 | 12:00:00 AM UTC | System Event | Timestamp Clock Sync | Asserted
  7b | 01/01/2020 | 12:00:13 AM UTC | Power Unit #0xff | Power off/down | Asserted
  7c | 01/01/2020 | 12:00:36 AM UTC | Drive Slot / Bay #0x02 | Drive Present | Asserted
  7d | 01/01/2020 | 12:00:36 AM UTC | Drive Slot / Bay #0x03 | Drive Present | Asserted
  7e | 01/01/2020 | 12:00:37 AM UTC | Drive Slot / Bay #0x04 | Drive Present | Asserted
  7f | 01/01/2020 | 12:00:50 AM UTC | Drive Slot / Bay #0x19 | Drive Present | Asserted
  80 | 01/01/2020 | 12:00:51 AM UTC | Drive Slot / Bay #0x1a | Drive Present | Asserted
  81 | 01/01/2020 | 12:01:08 AM UTC | Drive Slot / Bay #0x01 | Drive Present | Asserted
  82 | 01/01/2020 | 12:01:32 AM UTC | Power Unit #0xff | Power off/down | Asserted
  83 | 01/01/2020 | 12:01:55 AM UTC | Drive Slot / Bay #0x02 | Drive Present | Asserted
  84 | 01/01/2020 | 12:01:55 AM UTC | Drive Slot / Bay #0x03 | Drive Present | Asserted
  85 | 01/01/2020 | 12:01:56 AM UTC | Drive Slot / Bay #0x04 | Drive Present | Asserted
